id|profile_id|level|message|timestamp
560582|ac3ff5ea-f8a|info|  Page 10: fetching from 2020-07-07 11:25 (attempt 1/3)|2026-03-11T22:37:30
560583|ac3ff5ea-f8a|info|  Page 10: got 10000 bars (2020-07-07 11:26:00+00:00 to 2020-07-23 11:02:00+00:00)|2026-03-11T22:37:30
560584|ac3ff5ea-f8a|info|  Page 11: fetching from 2020-07-23 11:02 (attempt 1/3)|2026-03-11T22:37:31
560585|ac3ff5ea-f8a|info|  Page 11: got 10000 bars (2020-07-23 11:03:00+00:00 to 2020-08-10 17:51:00+00:00)|2026-03-11T22:37:32
560586|ac3ff5ea-f8a|info|  Page 12: fetching from 2020-08-10 17:51 (attempt 1/3)|2026-03-11T22:37:32
560587|ac3ff5ea-f8a|info|  Page 12: got 10000 bars (2020-08-10 17:52:00+00:00 to 2020-08-27 13:14:00+00:00)|2026-03-11T22:37:32
560588|ac3ff5ea-f8a|info|  Page 13: fetching from 2020-08-27 13:14 (attempt 1/3)|2026-03-11T22:37:32
560589|ac3ff5ea-f8a|info|  Page 13: got 10000 bars (2020-08-27 13:15:00+00:00 to 2020-09-15 13:03:00+00:00)|2026-03-11T22:37:33
560590|ac3ff5ea-f8a|info|  Page 14: fetching from 2020-09-15 13:03 (attempt 1/3)|2026-03-11T22:37:33
560591|ac3ff5ea-f8a|info|  Page 14: got 10000 bars (2020-09-15 13:04:00+00:00 to 2020-10-01 09:36:00+00:00)|2026-03-11T22:37:33
560592|ac3ff5ea-f8a|info|  Page 15: fetching from 2020-10-01 09:36 (attempt 1/3)|2026-03-11T22:37:33
560593|ac3ff5ea-f8a|info|  Page 15: got 10000 bars (2020-10-01 09:38:00+00:00 to 2020-10-19 10:08:00+00:00)|2026-03-11T22:37:34
560594|ac3ff5ea-f8a|info|  Page 16: fetching from 2020-10-19 10:08 (attempt 1/3)|2026-03-11T22:37:34
560595|ac3ff5ea-f8a|info|  Page 16: got 10000 bars (2020-10-19 10:09:00+00:00 to 2020-11-03 20:54:00+00:00)|2026-03-11T22:37:34
560596|ac3ff5ea-f8a|info|  Page 17: fetching from 2020-11-03 20:54 (attempt 1/3)|2026-03-11T22:37:34
560597|ac3ff5ea-f8a|info|  Page 17: got 10000 bars (2020-11-03 20:55:00+00:00 to 2020-11-19 12:21:00+00:00)|2026-03-11T22:37:35
560598|ac3ff5ea-f8a|info|  Page 18: fetching from 2020-11-19 12:21 (attempt 1/3)|2026-03-11T22:37:35
560599|ac3ff5ea-f8a|info|  Page 18: got 10000 bars (2020-11-19 12:22:00+00:00 to 2020-12-08 20:34:00+00:00)|2026-03-11T22:37:35
560600|ac3ff5ea-f8a|info|  Page 19: fetching from 2020-12-08 20:34 (attempt 1/3)|2026-03-11T22:37:35
560601|ac3ff5ea-f8a|info|  Page 19: got 10000 bars (2020-12-08 20:35:00+00:00 to 2020-12-28 17:30:00+00:00)|2026-03-11T22:37:36
560602|ac3ff5ea-f8a|info|  Page 20: fetching from 2020-12-28 17:30 (attempt 1/3)|2026-03-11T22:37:36
560603|ac3ff5ea-f8a|info|  Page 20: got 10000 bars (2020-12-28 17:31:00+00:00 to 2021-01-14 21:38:00+00:00)|2026-03-11T22:37:36
560604|ac3ff5ea-f8a|info|  Page 21: fetching from 2021-01-14 21:38 (attempt 1/3)|2026-03-11T22:37:36
560605|ac3ff5ea-f8a|info|  Page 21: got 10000 bars (2021-01-14 21:39:00+00:00 to 2021-02-02 20:48:00+00:00)|2026-03-11T22:37:37
560606|ac3ff5ea-f8a|info|  Page 22: fetching from 2021-02-02 20:48 (attempt 1/3)|2026-03-11T22:37:37
560607|ac3ff5ea-f8a|info|  Page 22: got 10000 bars (2021-02-02 20:49:00+00:00 to 2021-02-22 12:50:00+00:00)|2026-03-11T22:37:37
560608|ac3ff5ea-f8a|info|  Page 23: fetching from 2021-02-22 12:50 (attempt 1/3)|2026-03-11T22:37:37
560609|ac3ff5ea-f8a|info|  Page 23: got 10000 bars (2021-02-22 12:51:00+00:00 to 2021-03-09 19:32:00+00:00)|2026-03-11T22:37:38
