file,symbol_type,symbol_name,line
options-bot/ml/scalp_trainer.py,FunctionDef,objective,185
options-bot/ml/scalp_trainer.py,FunctionDef,train_scalp_model,365
options-bot/ml/swing_classifier_predictor.py,ClassDef,SwingClassifierPredictor,31
options-bot/ml/swing_classifier_predictor.py,FunctionDef,__init__,34
options-bot/ml/swing_classifier_predictor.py,FunctionDef,_binary_to_signed_confidence,147
options-bot/ml/swing_classifier_predictor.py,FunctionDef,get_avg_daily_move_pct,140
options-bot/ml/swing_classifier_predictor.py,FunctionDef,get_feature_importance,133
options-bot/ml/swing_classifier_predictor.py,FunctionDef,get_feature_names,129
options-bot/ml/swing_classifier_predictor.py,FunctionDef,load,43
options-bot/ml/swing_classifier_predictor.py,FunctionDef,predict,88
options-bot/ml/swing_classifier_predictor.py,FunctionDef,predict_batch,115
options-bot/ml/swing_classifier_predictor.py,FunctionDef,save,60
options-bot/ml/swing_classifier_predictor.py,FunctionDef,set_model,83
options-bot/ml/swing_classifier_trainer.py,AsyncFunctionDef,_save,604
options-bot/ml/swing_classifier_trainer.py,FunctionDef,_calculate_binary_target,113
options-bot/ml/swing_classifier_trainer.py,FunctionDef,_compute_all_features,59
options-bot/ml/swing_classifier_trainer.py,FunctionDef,_get_feature_names,54
options-bot/ml/swing_classifier_trainer.py,FunctionDef,_optuna_optimize_lgbm_classifier,223
options-bot/ml/swing_classifier_trainer.py,FunctionDef,_optuna_optimize_xgb_classifier,144
options-bot/ml/swing_classifier_trainer.py,FunctionDef,_prepare_training_data,447
options-bot/ml/swing_classifier_trainer.py,FunctionDef,_run_async,590
options-bot/ml/swing_classifier_trainer.py,FunctionDef,_save_to_db,572
options-bot/ml/swing_classifier_trainer.py,FunctionDef,_subsample_strided,133
options-bot/ml/swing_classifier_trainer.py,FunctionDef,_walk_forward_cv_classifier,301
options-bot/ml/swing_classifier_trainer.py,FunctionDef,objective,174
options-bot/ml/swing_classifier_trainer.py,FunctionDef,objective,255
options-bot/ml/swing_classifier_trainer.py,FunctionDef,train_swing_classifier_model,672
options-bot/ml/tft_predictor.py,ClassDef,TFTPredictor,37
options-bot/ml/tft_predictor.py,FunctionDef,__init__,47
options-bot/ml/tft_predictor.py,FunctionDef,_build_inference_df,335
options-bot/ml/tft_predictor.py,FunctionDef,_extract_variable_importance,435
options-bot/ml/tft_predictor.py,FunctionDef,_run_tft_inference,368
options-bot/ml/tft_predictor.py,FunctionDef,get_feature_importance,293
options-bot/ml/tft_predictor.py,FunctionDef,get_feature_names,289
options-bot/ml/tft_predictor.py,FunctionDef,load,63
options-bot/ml/tft_predictor.py,FunctionDef,predict,178
options-bot/ml/tft_predictor.py,FunctionDef,predict_batch,237
options-bot/ml/tft_predictor.py,FunctionDef,save,110
options-bot/ml/tft_trainer.py,AsyncFunctionDef,_save,680
options-bot/ml/tft_trainer.py,ClassDef,EpochLogger,104
options-bot/ml/tft_trainer.py,FunctionDef,_build_sequence_df,230
options-bot/ml/tft_trainer.py,FunctionDef,_build_timeseries_dataset,545
options-bot/ml/tft_trainer.py,FunctionDef,_compute_all_features,141
options-bot/ml/tft_trainer.py,FunctionDef,_get_feature_names,124
options-bot/ml/tft_trainer.py,FunctionDef,_make_epoch_logger,101
options-bot/ml/tft_trainer.py,FunctionDef,_make_strided_loader,72
options-bot/ml/tft_trainer.py,FunctionDef,_prediction_horizon_to_bars,195
options-bot/ml/tft_trainer.py,FunctionDef,_save_tft_model_to_db,662
options-bot/ml/tft_trainer.py,FunctionDef,_walk_forward_cv_tft,334
options-bot/ml/tft_trainer.py,FunctionDef,on_train_epoch_end,105
options-bot/ml/tft_trainer.py,FunctionDef,predict_dataset,592
options-bot/ml/tft_trainer.py,FunctionDef,train_tft_model,724
options-bot/ml/trainer.py,AsyncFunctionDef,_save_to_db,669
options-bot/ml/trainer.py,FunctionDef,_calculate_target,154
options-bot/ml/trainer.py,FunctionDef,_compute_all_features,93
options-bot/ml/trainer.py,FunctionDef,_get_feature_names,80
options-bot/ml/trainer.py,FunctionDef,_optuna_optimize,164
options-bot/ml/trainer.py,FunctionDef,_prediction_horizon_to_bars,48
options-bot/ml/trainer.py,FunctionDef,_run_async,633
options-bot/ml/trainer.py,FunctionDef,_walk_forward_cv,249
options-bot/ml/trainer.py,FunctionDef,objective,204
options-bot/ml/trainer.py,FunctionDef,train_model,370
options-bot/ml/xgboost_predictor.py,ClassDef,XGBoostPredictor,18
options-bot/ml/xgboost_predictor.py,FunctionDef,__init__,21
options-bot/ml/xgboost_predictor.py,FunctionDef,get_feature_importance,86
options-bot/ml/xgboost_predictor.py,FunctionDef,get_feature_names,82
options-bot/ml/xgboost_predictor.py,FunctionDef,load,27
options-bot/ml/xgboost_predictor.py,FunctionDef,predict,54
options-bot/ml/xgboost_predictor.py,FunctionDef,predict_batch,72
options-bot/ml/xgboost_predictor.py,FunctionDef,save,38
options-bot/ml/xgboost_predictor.py,FunctionDef,set_model,49
options-bot/risk/risk_manager.py,AsyncFunctionDef,_count,83
options-bot/risk/risk_manager.py,AsyncFunctionDef,_count,151
options-bot/risk/risk_manager.py,AsyncFunctionDef,_count,203
options-bot/risk/risk_manager.py,AsyncFunctionDef,_count,486
options-bot/risk/risk_manager.py,AsyncFunctionDef,_get_exposure,245
options-bot/risk/risk_manager.py,AsyncFunctionDef,_log,531
options-bot/risk/risk_manager.py,AsyncFunctionDef,_log,578
options-bot/risk/risk_manager.py,ClassDef,RiskManager,33
options-bot/risk/risk_manager.py,FunctionDef,__init__,42
options-bot/risk/risk_manager.py,FunctionDef,_get_profile_daily_trade_count,484
options-bot/risk/risk_manager.py,FunctionDef,_get_profile_open_count,199
options-bot/risk/risk_manager.py,FunctionDef,_run_async,62
options-bot/risk/risk_manager.py,FunctionDef,_start_async_loop,54
options-bot/risk/risk_manager.py,FunctionDef,calculate_position_size,373
options-bot/risk/risk_manager.py,FunctionDef,check_can_open_position,431
options-bot/risk/risk_manager.py,FunctionDef,check_emergency_stop_loss,301
options-bot/risk/risk_manager.py,FunctionDef,check_pdt,126
options-bot/risk/risk_manager.py,FunctionDef,check_pdt_limit,108
options-bot/risk/risk_manager.py,FunctionDef,check_portfolio_exposure,225
options-bot/risk/risk_manager.py,FunctionDef,check_position_limits,167
